id_compra,id_cliente,fecha_compra,producto,precio,ciudad,minutos_sesion,id_producto
2000,1030,1-21-2025,Monitor,352.34,Bogota,8.7,4056
2001,1074,4-10-2025,Laptop,431.39,,4.8,4007
2002,1091,4-26-2025,Laptop,254.59,Cali,4.5,4100
2003,1040,4-27-2025,Monitor,403.66,,2.0,4111
2004,1028,2025/13/40,Laptop,,,11.0,4065
2005,1009,27/2/2025,Mouse,388.6,Cali,6.8,4117
2006,1064,15/2/2025,Laptop,229.81,Cali,13.5,4088
2007,1085,27/3/2025,Teclado,259.33,Bogota,7.5,4098
2008,1000,2025/13/40,Audifonos,374.27,Cali,9.0,4094
2009,1004,2025/13/40,Teclado,318.14,cali,6.2,4077
2010,1072,19/1/2025,Teclado,337.37,,2.5,4112
2011,1103,2025/13/40,Laptop,332.13,bogota,9.3,4033
2012,1053,3-27-2025,Monitor,255.09,cali,8.7,4004
2013,1093,25/3/2025,Laptop,369.19,Cali,10.6,4065
2014,1074,3-7-2025,Laptop,382.12,Bogota,8.8,4049
2015,1097,2025/13/40,Laptop,302.97,bogota,9.0,4037
2016,1096,4-23-2025,Laptop,272.77,Bogota,1.2,4087
2017,1068,6/2/2025,Monitor,296.67, MEDELLIN,3.4,4042
2018,1111,2025/13/40,Audifonos,263.86, MEDELLIN,3.6,4055
2019,1024,2025/13/40,Monitor,329.26,Cali,,4050
2020,1018,5-5-2025,Laptop,330.24,Medellin ,4.7,4020
2021,1069,5/1/2025,Laptop,266.46,cali,11.1,4048
2022,1077,2025/13/40,Mouse,282.77,bogota,5.2,4093
2023,1106,5-17-2025,Audifonos,312.84,cali,8.7,4046
2024,1055,2025/13/40,Audifonos,302.14,Medellin ,15.1,4025
2025,1013,2025/13/40,Teclado,315.15,Bogota,10.3,4109
2026,1106,4-13-2025,Teclado,318.68,bogota,70.5,4014
2027,1063,23/1/2025,Mouse,152.6,cali,,4016
2028,1102,12/2/2025,Laptop,222.54,bogota,8.9,4067
2029,1009,9/3/2025,Laptop,354.63,Medellin ,91.5,4085
2030,1033,2025/13/40,Audifonos,262.56,Bogota,1.9,4051
2031,1025,2025/13/40,Monitor,231.85,,8.1,4032
2032,1052,5-6-2025,Audifonos,307.64,cali,5.4,4074
2033,1061,2025/13/40,Laptop,270.77,bogota,-2.0,4035
2034,1023,2025/13/40,Audifonos,341.08,,8.9,4112
2035,1093,3-25-2025,Monitor,316.41,cali,16.2,4050
2036,1044,4-5-2025,Laptop,397.18,,10.6,4011
2037,1046,1-26-2025,Mouse,251.11,cali,10.6,4010
2038,1099,2025/13/40,Audifonos,200.31,bogota,7.4,4009
2039,1004,2-12-2025,Monitor,275.55,Cali,12.0,4064
2040,1062,9/5/2025,Audifonos,265.39,,7.7,4037
2041,1118,17/3/2025,Audifonos,238.57,Medellin ,9.5,4008
2042,1033,2025/13/40,Audifonos,263.76,Bogota,8.7,4059
