user_id,order_id,order_date,item_price,quantity,city,category,channel
103,1119,2024-01-01 00:00:00,143.18,3.0,,Beauty,WEB
180,974,2024-01-01 00:45:00,173.3,3.0,Bquilla,Electrncs,App
93,903,2024-01-01 01:30:00,200.74,1.0,Medellin,Home,WEB
15,1234,2024-01-01 02:15:00,52.44,3.0,Medellin,Beauty,app
107,1033,2024-01-01 03:00:00,44.37,2.0,Cali,Unknown,App
72,1017,2024-01-01 03:45:00,28.83,1.0,Barranquilla,Electrncs,WEB
189,1268,2024-01-01 04:30:00,160.2,3.0,Barranquilla,Unknown,app
21,993,2024-01-01 05:15:00,177.5,5.0,Bogota,,
103,1385,2024-01-01 06:00:00,10.8,6.0,bogotá,Electrncs,Web
122,1334,2024-01-01 06:45:00,234.24,3.0,Medellin,Beauty,
211,961,2024-01-01 07:30:00,,2.0,bogotá,Home,WEB
215,1340,1900-13-40 99:99:99,,4.0,Barranquilla,Home,Web
75,1093,2024-01-01 09:00:00,178.14,3.0,Barranquilla,Beauty,app
203,1234,2024-01-01 09:45:00,218.13,4.0,MEDELLIN,Beauty,app
88,1102,2024-01-01 10:30:00,,5.0,Bquilla,Beauty,app
117,1291,2024-01-01 11:15:00,201.03,3.0,Bogota,Fashion,
100,925,2024-01-01 12:00:00,86.84,1.0,MEDELLIN,Electrncs,App
104,1334,2024-01-01 12:45:00,,4.0,Bquilla,Home,App
152,1072,2024-01-01 13:30:00,22.79,5.0,MEDELLIN,Electrncs,App
131,1199,2024-01-01 14:15:00,224.02,,MEDELLIN,Unknown,App
150,1032,2024-01-01 15:00:00,138.26,1.0,Bogota,,
53,1225,2024-01-01 15:45:00,204.87,1.0,Bogota,,WEB
2,1309,1900-13-40 99:99:99,114.72,1.0,Cali,Beauty,
88,1017,2024-01-01 17:15:00,,3.0,bogotá,Grocery,
158,1223,2024-01-01 18:00:00,133.02,6.0,bogotá,Beauty,WEB
38,1174,2024-01-01 18:45:00,183.7,,Cali,Beauty,WEB
130,1111,2024-01-01 19:30:00,23.16,3.0,,Fashion,App
192,1124,2024-01-01 20:15:00,,5.0,Barranquilla,Electrncs,app
188,919,2024-01-01 21:00:00,,5.0,Bquilla,Home,WEB
21,1012,2024-01-01 21:45:00,,6.0,,Beauty,app
161,1039,2024-01-01 22:30:00,218.33,5.0,Cali,Home,WEB
204,946,2024-01-01 23:15:00,57.15,2.0,Medellin,,WEB
58,900,2024-01-02 00:00:00,244.04,,bogotá,Unknown,App
22,989,2024-01-02 00:45:00,86.21,5.0,Cali,Electrncs,WEB
89,1041,2024-01-02 01:30:00,47.98,6.0,Medellin,Home,Web
49,1219,2024-01-02 02:15:00,198.06,3.0,,Grocery,Web
219,937,1900-13-40 99:99:99,,3.0,,Unknown,App
59,1192,2024-01-02 03:45:00,126.05,6.0,Barranquilla,,app
170,1281,2024-01-02 04:30:00,140.17,,Barranquilla,Beauty,app
220,1038,2024-01-02 05:15:00,180.64,2.0,Medellin,Unknown,app
188,1255,2024-01-02 06:00:00,59.43,6.0,Bquilla,Home,Web
208,1232,2024-01-02 06:45:00,249.09,5.0,,Unknown,app
15,1390,2024-01-02 07:30:00,243.77,4.0,MEDELLIN,,app
190,1158,2024-01-02 08:15:00,163.63,2.0,,,App
190,1060,2024-01-02 09:00:00,52.29,1.0,,Electrncs,app
175,1289,2024-01-02 09:45:00,171.02,3.0,MEDELLIN,Grocery,Web
190,1077,2024-01-02 10:30:00,20.83,6.0,Medellin,,Web
51,909,2024-01-02 11:15:00,,,bogotá,Fashion,
108,1160,2024-01-02 12:00:00,66.65,,Bquilla,,App
55,1306,2024-01-02 12:45:00,,3.0,,Unknown,App
64,1037,2024-01-02 13:30:00,217.46,3.0,,,WEB
131,1071,2024-01-02 14:15:00,182.61,2.0,Barranquilla,Home,app
229,1285,2024-01-02 15:00:00,186.45,2.0,,Unknown,App
51,912,2024-01-02 15:45:00,108.1,12.0,bogotá,Home,Web
135,1067,2024-01-02 16:30:00,88.45,6.0,,,
21,1029,2024-01-02 17:15:00,94.65,3.0,Bogota,Electrncs,App
73,983,1900-13-40 99:99:99,246.95,1.0,Bogota,Home,App
167,1220,2024-01-02 18:45:00,12.91,4.0,,Electronics,App
18,1218,1900-13-40 99:99:99,217.16,1.0,Bquilla,Electrncs,
132,1000,2024-01-02 20:15:00,145.93,5.0,MEDELLIN,Fashion,Web
89,1228,2024-01-02 21:00:00,111.34,1.0,,,
60,1172,2024-01-02 21:45:00,182.14,5.0,Cali,Unknown,WEB
14,1164,2024-01-02 22:30:00,123.21,,Bquilla,Unknown,
9,1358,2024-01-02 23:15:00,218.74,5.0,Bogota,Home,Web
90,1298,2024-01-03 00:00:00,,4.0,MEDELLIN,,Web
53,1307,2024-01-03 00:45:00,,1.0,Bogota,Electrncs,App
