id_producto,nombre_producto,categoria,costo_unitario,proveedor
4000,Mouse,portatiles,124.03,MegaTech
4001,Monitor,portatiles,175.79,
4002,Monitor,perifericos,263.35,Proveedor_Y
4003,Mouse,portatiles,164.62,Proveedor_Y
4004,Audifonos,Audio,222.19,Innova
4005,Audifonos,,238.73,
4006,Teclado,PERIFERICOS,153.65,Proveedor_Y
4007,Laptop,PERIFERICOS,197.02,
4008,Laptop,Portatiles,37.94,TechCorp
4009,Teclado,,148.78,ProveedorX
4010,Monitor,Portatiles,187.37,ProveedorX
4011,Teclado,perifericos,1100.88,
4012,Mouse,audio,281.62,
4013,Audifonos,,128.49,
4014,Mouse,,178.0,Proveedor_Y
4015,Audifonos,Audio,206.54,Proveedor_Y
4016,Audifonos,audio,272.06,Innova
4017,Monitor,,128.21,
4018,Laptop, ,258.16,ProveedorX
4019,Mouse,portatiles,200.51,Proveedor_Y
4020,Mouse,perifericos,150.92,Innova
4021,Teclado,PERIFERICOS,223.11,ProveedorX
4022,Monitor,Perifericos,209.95,
4023,Audifonos,Perifericos,169.99,ProveedorX
4024,Monitor,Perifericos,203.49,ProveedorX
4025,Monitor, ,180.73,Proveedor_Y
4026,Teclado,,205.68,TechCorp
4027,Monitor,Audio,233.11,
4028,Teclado,,279.3,Proveedor_Y
4029,Mouse,audio,138.11,TechCorp
4030,Monitor,perifericos,306.65,MegaTech
4031,Monitor,Audio,102.4,
4032,Monitor,portatiles,192.41,MegaTech
4033,Mouse,,,Proveedor_Y
4034,Mouse,Audio,214.05,
4035,Mouse,Perifericos,168.87,TechCorp
4036,Audifonos,perifericos,189.59,TechCorp
4037,Audifonos,Portatiles,175.35,MegaTech
4038,Teclado,PERIFERICOS,170.53,MegaTech
4039,Mouse,Perifericos,242.48,ProveedorX
4040,Monitor,Portatiles,217.85,
4041,Teclado,PERIFERICOS,165.35,
4042,Audifonos,PERIFERICOS,244.98,TechCorp
4043,Laptop, ,215.36,Proveedor_Y
4044,Laptop,Perifericos,240.64,TechCorp
4045,Monitor,Audio,231.48,
4046,Teclado,audio,158.55,
4047,Laptop, ,171.99,
4048,Audifonos,portatiles,237.36,TechCorp
4049,Laptop,,230.52,Proveedor_Y
4050,Monitor,Audio,,
4051,Laptop,perifericos,205.87,MegaTech
4052,Laptop,portatiles,263.88,MegaTech
4053,Audifonos,Perifericos,170.42,Innova
4054,Monitor,,227.35,ProveedorX
4055,Monitor,,189.89,Innova
4056,Monitor,Portatiles,189.12,ProveedorX
4057,Audifonos, ,254.94,Proveedor_Y
4058,Laptop,Audio,241.27,MegaTech
4059,Teclado,PERIFERICOS,240.68,
4060,Audifonos,perifericos,265.27,MegaTech
4061,Audifonos, ,201.05,
4062,Teclado,portatiles,234.1,TechCorp
4063,Audifonos,perifericos,184.49,Proveedor_Y
4064,Laptop,perifericos,216.21,TechCorp
4065,Mouse,portatiles,193.49,Innova
4066,Mouse,portatiles,204.85,
4067,Mouse,audio,229.76,
4068,Mouse,perifericos,159.09,MegaTech
4069,Mouse,Portatiles,304.62,Proveedor_Y
4070,Audifonos,Portatiles,149.7,ProveedorX
4071,Laptop,audio,139.29,Proveedor_Y
4072,Mouse,Portatiles,257.91,TechCorp
4073,Teclado,Portatiles,239.58,TechCorp
4074,Monitor,,231.21,TechCorp
4075,Teclado,portatiles,231.42,ProveedorX
4076,Mouse,Portatiles,199.39,
4077,Audifonos,Portatiles,155.14,
4078,Teclado,portatiles,203.79,Innova
4079,Laptop,portatiles,166.14,MegaTech
4080,Monitor,portatiles,248.76,TechCorp
4081,Audifonos,Perifericos,192.65,Proveedor_Y
4082,Laptop,Perifericos,158.73,
4083,Audifonos,Perifericos,183.93,MegaTech
4084,Audifonos,Perifericos,220.65,Proveedor_Y
4085,Monitor,portatiles,171.81,
4086,Monitor,PERIFERICOS,158.89,MegaTech
4087,Mouse,perifericos,212.18,MegaTech
4088,Monitor, ,,TechCorp
4089,Laptop,portatiles,174.65,ProveedorX
4090,Audifonos,Perifericos,176.45,ProveedorX
4091,Mouse,Portatiles,211.6,ProveedorX
4092,Monitor,Perifericos,127.6,MegaTech
4093,Monitor,,129.63,Proveedor_Y
4094,Teclado,perifericos,1312.64,ProveedorX
4095,Mouse,Portatiles,189.33,ProveedorX
4096,Mouse,perifericos,215.55,Proveedor_Y
4097,Laptop,audio,273.77,Innova
4098,Monitor, ,242.88,Proveedor_Y
4099,Audifonos,perifericos,192.0,
4100,Monitor,Audio,199.05,
4101,Mouse,portatiles,149.87,Proveedor_Y
4102,Monitor,perifericos,199.07,MegaTech
4103,Audifonos, ,185.57,
4104,Teclado,Portatiles,216.14,
4105,Monitor,Perifericos,158.64,
4106,Monitor,audio,225.97,
4107,Teclado,,276.64,Proveedor_Y
4108,Laptop,PERIFERICOS,194.56,Proveedor_Y
4109,Monitor,Perifericos,220.09,
4110,Teclado,PERIFERICOS,234.51,MegaTech
4111,Audifonos,audio,179.94,
4112,Audifonos,audio,211.2,
4113,Monitor, ,,TechCorp
4114,Teclado,portatiles,204.88,ProveedorX
4115,Mouse,PERIFERICOS,161.35,TechCorp
4116,Mouse,Audio,201.23,MegaTech
4117,Monitor,perifericos,224.9,
4118,Teclado,perifericos,272.56,ProveedorX
4119,Audifonos,Portatiles,247.96,Innova
