id_pedido,id_compra,fecha_pedido,estado_pedido,metodo_envio,costo_envio
3000,2090,13/5/2025,ENTREGADO,pickup,21.2
3001,2039,2025/13/40,en_proceso, ,21.53
3002,2058,2025/13/40,en_proceso,,21.59
3003,2059,11/5/2025,En proceso, ,16.85
3004,2057,2025/13/40,En proceso,Express,19.16
3005,2106,2025/13/40,ENTREGADO,,20.73
3006,2081,4-2-2025,Enviado,,15.95
3007,2065,2025/13/40,ENTREGADO,Express,24.31
3008,2112,2025/13/40,En proceso,pickup,18.89
3009,2082,2-9-2025,cancelado,Express,20.95
3010,2062,2025/13/40,ENTREGADO, ,20.88
3011,2113,27/4/2025,ENTREGADO,pickup,22.04
3012,2011,1-10-2025,En proceso,,25.98
3013,2081,2025/13/40,Enviado,Estandar,
3014,2028,2025/13/40,cancelado, ,12.38
3015,2098,2025/13/40,Enviado,ESTANDAR,25.68
3016,2074,2-23-2025,cancelado,ESTANDAR,17.72
3017,2097,4/2/2025,en_proceso,express,26.49
3018,2074,2025/13/40,ENTREGADO,ESTANDAR,20.54
3019,2077,2025/13/40,En proceso,pickup,18.89
3020,2020,5-27-2025,En proceso, ,14.27
3021,2018,2025/13/40,en_proceso,Express,14.42
3022,2037,3/2/2025,entregado,express,14.14
3023,2024,2025/13/40,,Express,32.58
3024,2059,17/1/2025,en_proceso,,11.72
3025,2052,3-14-2025,ENTREGADO,,23.21
3026,2063,4-21-2025,En proceso,Express,26.65
3027,2002,2025/13/40,,ESTANDAR,14.85
3028,2016,20/4/2025,entregado,ESTANDAR,19.75
3029,2037,2025/13/40,Cancelado,pickup,13.37
3030,2001,13/3/2025,,pickup,25.77
3031,2071,5-18-2025,,express,17.74
3032,2094,13/3/2025,en_proceso,Express,7.88
3033,2032,6/4/2025,en_proceso,express,
3034,2007,2025/13/40,Enviado,pickup,18.68
3035,2045,20/4/2025,cancelado,Estandar,17.98
3036,2073,28/2/2025,cancelado,,15.62
3037,2076,1-13-2025,entregado,Express,20.19
3038,2021,2025/13/40,En proceso,pickup,23.16
3039,2014,2025/13/40,Cancelado,pickup,15.11
